"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Variável - Área plantada (Hectares)"
"Unidade da Federação";"Ano x Produto das lavouras temporárias"
"Unidade da Federação";"2007";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2008";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2009";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2010";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2011";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2012";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2013";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2014";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2015";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2016";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2017";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2018";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2019";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2020";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2021";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2022";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2023"
"Unidade da Federação";"Total";"Abacaxi*";"Alfafa fenada";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Batata-doce";"Batata-inglesa";"Cana-de-açúcar";"Cana para forragem";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Fumo (em folha)";"Girassol (em grão)";"Juta (fibra)";"Linho (semente)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Melancia";"Melão";"Milho (em grão)";"Rami (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Total";"Abacaxi*";"Alfafa fenada";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Batata-doce";"Batata-inglesa";"Cana-de-açúcar";"Cana para forragem";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Fumo (em folha)";"Girassol (em grão)";"Juta (fibra)";"Linho (semente)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Melancia";"Melão";"Milho (em grão)";"Rami (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Total";"Abacaxi*";"Alfafa fenada";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Batata-doce";"Batata-inglesa";"Cana-de-açúcar";"Cana para forragem";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Fumo (em folha)";"Girassol (em grão)";"Juta (fibra)";"Linho (semente)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Melancia";"Melão";"Milho (em grão)";"Rami (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Total";"Abacaxi*";"Alfafa fenada";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Batata-doce";"Batata-inglesa";"Cana-de-açúcar";"Cana para forragem";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Fumo (em folha)";"Girassol (em grão)";"Juta (fibra)";"Linho (semente)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Melancia";"Melão";"Milho (em grão)";"Rami (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Total";"Abacaxi*";"Alfafa fenada";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Batata-doce";"Batata-inglesa";"Cana-de-açúcar";"Cana para forragem";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Fumo (em folha)";"Girassol (em grão)";"Juta (fibra)";"Linho (semente)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Melancia";"Melão";"Milho (em grão)";"Rami (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Total";"Abacaxi*";"Alfafa fenada";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Batata-doce";"Batata-inglesa";"Cana-de-açúcar";"Cana para forragem";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Fumo (em folha)";"Girassol (em grão)";"Juta (fibra)";"Linho (semente)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Melancia";"Melão";"Milho (em grão)";"Rami (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Total";"Abacaxi*";"Alfafa fenada";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Batata-doce";"Batata-inglesa";"Cana-de-açúcar";"Cana para forragem";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Fumo (em folha)";"Girassol (em grão)";"Juta (fibra)";"Linho (semente)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Melancia";"Melão";"Milho (em grão)";"Rami (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Total";"Abacaxi*";"Alfafa fenada";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Batata-doce";"Batata-inglesa";"Cana-de-açúcar";"Cana para forragem";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Fumo (em folha)";"Girassol (em grão)";"Juta (fibra)";"Linho (semente)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Melancia";"Melão";"Milho (em grão)";"Rami (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Total";"Abacaxi*";"Alfafa fenada";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Batata-doce";"Batata-inglesa";"Cana-de-açúcar";"Cana para forragem";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Fumo (em folha)";"Girassol (em grão)";"Juta (fibra)";"Linho (semente)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Melancia";"Melão";"Milho (em grão)";"Rami (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Total";"Abacaxi*";"Alfafa fenada";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Batata-doce";"Batata-inglesa";"Cana-de-açúcar";"Cana para forragem";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Fumo (em folha)";"Girassol (em grão)";"Juta (fibra)";"Linho (semente)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Melancia";"Melão";"Milho (em grão)";"Rami (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Total";"Abacaxi*";"Alfafa fenada";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Batata-doce";"Batata-inglesa";"Cana-de-açúcar";"Cana para forragem";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Fumo (em folha)";"Girassol (em grão)";"Juta (fibra)";"Linho (semente)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Melancia";"Melão";"Milho (em grão)";"Rami (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Total";"Abacaxi*";"Alfafa fenada";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Batata-doce";"Batata-inglesa";"Cana-de-açúcar";"Cana para forragem";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Fumo (em folha)";"Girassol (em grão)";"Juta (fibra)";"Linho (semente)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Melancia";"Melão";"Milho (em grão)";"Rami (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Total";"Abacaxi*";"Alfafa fenada";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Batata-doce";"Batata-inglesa";"Cana-de-açúcar";"Cana para forragem";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Fumo (em folha)";"Girassol (em grão)";"Juta (fibra)";"Linho (semente)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Melancia";"Melão";"Milho (em grão)";"Rami (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Total";"Abacaxi*";"Alfafa fenada";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Batata-doce";"Batata-inglesa";"Cana-de-açúcar";"Cana para forragem";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Fumo (em folha)";"Girassol (em grão)";"Juta (fibra)";"Linho (semente)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Melancia";"Melão";"Milho (em grão)";"Rami (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Total";"Abacaxi*";"Alfafa fenada";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Batata-doce";"Batata-inglesa";"Cana-de-açúcar";"Cana para forragem";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Fumo (em folha)";"Girassol (em grão)";"Juta (fibra)";"Linho (semente)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Melancia";"Melão";"Milho (em grão)";"Rami (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Total";"Abacaxi*";"Alfafa fenada";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Batata-doce";"Batata-inglesa";"Cana-de-açúcar";"Cana para forragem";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Fumo (em folha)";"Girassol (em grão)";"Juta (fibra)";"Linho (semente)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Melancia";"Melão";"Milho (em grão)";"Rami (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Total";"Abacaxi*";"Alfafa fenada";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Batata-doce";"Batata-inglesa";"Cana-de-açúcar";"Cana para forragem";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Fumo (em folha)";"Girassol (em grão)";"Juta (fibra)";"Linho (semente)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Melancia";"Melão";"Milho (em grão)";"Rami (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)"
"Rondônia";"383553";"565";"...";"-";"-";"152";"72202";"-";"-";"-";"3047";"...";"-";"-";"-";"-";"-";"62851";"-";"-";"-";"-";"-";"-";"30509";"852";"-";"123480";"-";"89520";"-";"375";"-";"-";"408939";"687";"...";"-";"-";"119";"71031";"-";"-";"-";"3204";"...";"-";"-";"-";"-";"-";"66050";"-";"-";"-";"-";"-";"-";"31600";"843";"-";"135845";"-";"99206";"-";"354";"-";"-";"436766";"659";"...";"-";"-";"161";"68912";"-";"-";"-";"4220";"...";"-";"-";"-";"-";"-";"66681";"-";"-";"-";"-";"-";"-";"29707";"953";"-";"153691";"-";"111426";"-";"356";"-";"-";"455482";"280";"...";"-";"-";"74";"68252";"-";"-";"-";"3824";"...";"-";"-";"-";"-";"-";"60494";"-";"-";"-";"-";"-";"-";"29774";"675";"-";"169069";"-";"122743";"-";"297";"-";"-";"546051";"499";"...";"-";"-";"63";"159632";"-";"-";"-";"3767";"...";"-";"-";"-";"-";"-";"57838";"-";"-";"-";"-";"-";"-";"30599";"697";"-";"160368";"-";"132300";"-";"288";"-";"-";"476280";"363";"...";"-";"-";"27";"82583";"-";"-";"-";"3799";"...";"-";"-";"-";"-";"-";"51470";"-";"-";"-";"-";"-";"-";"27478";"642";"-";"161036";"-";"146144";"-";"2738";"-";"-";"447793";"452";"...";"-";"-";"170";"45616";"-";"-";"-";"4944";"...";"-";"-";"-";"-";"-";"33641";"-";"-";"-";"-";"-";"-";"28403";"765";"-";"148132";"-";"179886";"5550";"234";"-";"-";"465183";"899";"...";"-";"-";"52";"47820";"-";"-";"-";"4866";"...";"-";"-";"-";"-";"-";"27097";"-";"-";"-";"-";"-";"-";"25537";"1001";"-";"154213";"-";"195180";"8250";"268";"-";"-";"505753";"883";"...";"-";"-";"62";"43574";"-";"-";"-";"2393";"...";"-";"-";"-";"-";"-";"22285";"-";"-";"-";"-";"-";"-";"26024";"820";"-";"175952";"-";"233605";"-";"155";"-";"-";"512621";"927";"...";"350";"-";"71";"43980";"-";"-";"-";"4965";"...";"-";"-";"-";"-";"-";"18790";"-";"-";"-";"-";"-";"-";"29095";"1270";"-";"166818";"-";"246171";"-";"184";"-";"-";"585246";"1081";"...";"-";"-";"118";"36726";"-";"-";"-";"3786";"...";"-";"-";"-";"-";"-";"17510";"-";"-";"-";"-";"-";"-";"29163";"904";"-";"215716";"-";"280103";"-";"139";"-";"-";"571287";"938";"...";"-";"-";"96";"39063";"-";"-";"-";"1907";"...";"-";"-";"-";"-";"-";"17080";"-";"-";"-";"-";"-";"-";"24808";"960";"-";"185413";"-";"300816";"-";"206";"-";"-";"657037";"768";"...";"-";"-";"109";"43325";"-";"-";"-";"2517";"...";"-";"-";"-";"-";"-";"16815";"-";"-";"-";"-";"-";"-";"22286";"1054";"-";"225372";"-";"344551";"-";"240";"-";"-";"721910";"938";"...";"-";"-";"128";"40859";"-";"-";"-";"754";"...";"-";"-";"-";"-";"-";"16547";"-";"-";"-";"-";"-";"-";"22428";"838";"5";"246609";"-";"392642";"-";"162";"-";"-";"770892";"784";"...";"-";"-";"118";"40041";"-";"-";"-";"718";"...";"-";"-";"-";"-";"-";"13256";"-";"-";"-";"-";"-";"-";"18656";"723";"-";"295980";"-";"400459";"-";"157";"-";"-";"886751";"1009";"...";"10050";"-";"85";"40221";"-";"-";"-";"502";"...";"-";"-";"-";"-";"-";"3137";"-";"-";"-";"-";"-";"-";"18968";"804";"-";"322237";"-";"489526";"-";"212";"-";"-";"1017356";"821";"...";"10687";"-";"78";"35975";"-";"-";"-";"632";"...";"-";"-";"-";"-";"-";"2987";"-";"-";"-";"-";"-";"-";"17952";"893";"12";"356552";"-";"589983";"607";"177";"-";"-"
"Acre";"107877";"251";"...";"-";"-";"65";"22074";"-";"11";"-";"1022";"...";"-";"-";"-";"-";"-";"14410";"184";"-";"-";"-";"-";"-";"32232";"463";"-";"37065";"-";"100";"-";"-";"-";"-";"98425";"313";"...";"-";"-";"118";"18184";"-";"28";"-";"2886";"...";"-";"-";"-";"-";"-";"10479";"153";"-";"-";"-";"-";"-";"33650";"711";"-";"31850";"-";"50";"-";"3";"-";"-";"84700";"320";"...";"-";"-";"172";"13880";"-";"26";"-";"2541";"...";"-";"-";"-";"-";"-";"9014";"144";"-";"-";"-";"-";"-";"29977";"669";"-";"27903";"-";"50";"-";"4";"-";"-";"114815";"469";"...";"-";"-";"93";"16877";"-";"49";"-";"2769";"...";"-";"-";"-";"-";"-";"12283";"186";"-";"-";"-";"-";"-";"41108";"1095";"-";"39784";"-";"100";"-";"2";"-";"-";"121043";"487";"...";"-";"-";"157";"17359";"-";"76";"-";"2654";"...";"-";"-";"-";"-";"-";"12759";"181";"-";"-";"-";"-";"-";"49420";"1025";"-";"36836";"-";"85";"-";"4";"-";"-";"135180";"555";"...";"-";"-";"237";"14792";"-";"100";"-";"3086";"...";"-";"-";"-";"-";"-";"12637";"177";"-";"-";"-";"-";"-";"58507";"1254";"-";"43833";"-";"-";"-";"2";"-";"-";"118489";"519";"...";"-";"-";"241";"11607";"-";"118";"-";"2718";"...";"-";"-";"-";"-";"-";"12020";"162";"-";"-";"-";"-";"-";"44409";"1149";"-";"45486";"-";"60";"-";"-";"-";"-";"110554";"536";"...";"-";"-";"261";"7109";"-";"126";"-";"3458";"...";"-";"-";"-";"-";"-";"8194";"202";"-";"-";"-";"-";"-";"43845";"1330";"-";"45093";"-";"400";"-";"-";"-";"-";"103290";"531";"...";"-";"-";"241";"6089";"-";"119";"-";"3573";"...";"-";"-";"-";"-";"-";"7579";"236";"-";"-";"-";"-";"-";"41697";"1349";"-";"41876";"-";"-";"-";"-";"-";"-";"94552";"597";"...";"-";"-";"222";"4986";"-";"109";"-";"3079";"...";"-";"-";"-";"-";"-";"7540";"178";"-";"-";"-";"-";"-";"39832";"1522";"-";"36387";"-";"100";"-";"-";"-";"-";"87101";"616";"...";"-";"-";"165";"4680";"-";"104";"-";"2437";"...";"-";"-";"-";"-";"-";"6906";"195";"-";"-";"-";"-";"-";"35402";"1619";"-";"34850";"-";"127";"-";"-";"-";"-";"72431";"529";"...";"-";"-";"133";"4372";"-";"93";"-";"517";"...";"-";"-";"-";"-";"-";"6108";"148";"-";"-";"-";"-";"-";"28530";"1381";"-";"30140";"-";"480";"-";"-";"-";"-";"69230";"521";"...";"-";"-";"85";"3850";"-";"88";"-";"513";"...";"-";"-";"-";"-";"-";"5415";"143";"-";"-";"-";"-";"-";"26650";"1335";"-";"28970";"-";"1660";"-";"-";"-";"-";"69551";"528";"...";"-";"-";"84";"3762";"-";"88";"-";"490";"...";"-";"-";"-";"-";"-";"5255";"142";"-";"-";"-";"-";"-";"24720";"1332";"-";"29870";"-";"3280";"-";"-";"-";"-";"74726";"526";"...";"-";"-";"85";"3637";"-";"87";"-";"503";"...";"-";"-";"-";"-";"-";"5115";"142";"-";"-";"-";"-";"-";"23000";"1341";"-";"34105";"-";"6185";"-";"-";"-";"-";"80508";"526";"...";"-";"-";"82";"3705";"-";"87";"-";"480";"...";"-";"-";"-";"-";"-";"5235";"142";"-";"-";"-";"-";"-";"21895";"1326";"-";"40460";"-";"6570";"-";"-";"-";"-";"86463";"499";"...";"-";"-";"69";"3705";"-";"78";"-";"465";"...";"-";"-";"-";"-";"-";"5144";"141";"-";"-";"-";"-";"-";"22025";"1253";"-";"40831";"-";"12010";"243";"-";"-";"-"
"Amazonas";"144985";"6252";"...";"-";"-";"-";"9764";"-";"326";"-";"6274";"...";"-";"-";"-";"-";"-";"5313";"222";"-";"4015";"-";"10180";"-";"79212";"5816";"63";"16120";"-";"806";"-";"622";"-";"-";"139022";"2474";"...";"-";"-";"-";"4901";"-";"198";"-";"6050";"...";"-";"-";"-";"-";"-";"3235";"32";"-";"406";"-";"7410";"-";"97393";"4683";"-";"11905";"-";"200";"-";"135";"-";"-";"140167";"2557";"...";"-";"-";"-";"5556";"-";"204";"-";"6050";"...";"-";"-";"-";"-";"-";"3235";"35";"-";"406";"-";"7410";"-";"97393";"4782";"-";"12200";"-";"204";"-";"135";"-";"-";"135465";"2621";"...";"-";"-";"-";"4487";"-";"399";"-";"5407";"...";"-";"-";"-";"-";"-";"4860";"34";"-";"745";"-";"8490";"-";"89368";"4798";"-";"13952";"-";"180";"-";"124";"-";"-";"146031";"3345";"...";"-";"-";"-";"5707";"-";"608";"-";"5211";"...";"-";"-";"-";"-";"-";"5362";"37";"-";"830";"-";"9545";"-";"95586";"5006";"-";"14494";"-";"180";"-";"120";"-";"-";"145647";"3761";"...";"-";"-";"-";"5906";"-";"377";"-";"4613";"...";"-";"-";"-";"-";"-";"5450";"6";"-";"940";"-";"9006";"-";"95399";"5278";"20";"14580";"-";"220";"-";"91";"-";"-";"135550";"4096";"...";"-";"-";"-";"3436";"-";"371";"-";"4169";"...";"-";"-";"-";"-";"-";"3748";"4";"-";"388";"-";"6397";"-";"95991";"5585";"32";"11237";"-";"20";"-";"76";"-";"-";"113173";"3719";"...";"-";"-";"-";"2961";"-";"351";"-";"4639";"...";"-";"-";"-";"-";"-";"2289";"-";"-";"766";"-";"4625";"-";"80562";"5666";"24";"7529";"-";"-";"-";"42";"-";"-";"100318";"3810";"...";"-";"-";"-";"1964";"-";"417";"-";"3828";"...";"-";"-";"-";"-";"-";"2486";"-";"-";"675";"-";"3538";"-";"72431";"4476";"69";"6604";"-";"-";"-";"20";"-";"-";"101189";"4330";"...";"-";"-";"-";"361";"-";"473";"-";"3600";"...";"-";"-";"-";"-";"-";"2288";"-";"-";"166";"-";"2360";"-";"79591";"4070";"12";"3920";"-";"-";"-";"18";"-";"-";"103168";"2352";"...";"-";"-";"-";"322";"-";"500";"-";"3873";"...";"8";"-";"-";"-";"-";"1792";"-";"-";"40";"-";"1383";"-";"84968";"4282";"4";"3638";"-";"-";"-";"6";"-";"-";"96226";"2278";"...";"-";"-";"-";"548";"-";"423";"-";"3962";"...";"-";"-";"-";"-";"-";"1409";"-";"-";"35";"-";"1483";"-";"78088";"4362";"4";"3612";"-";"-";"-";"22";"-";"-";"99489";"2821";"...";"-";"-";"-";"494";"-";"350";"-";"3964";"...";"-";"-";"-";"-";"-";"1527";"-";"-";"5";"-";"1247";"-";"80203";"3455";"2";"2890";"-";"2500";"-";"31";"-";"-";"101598";"2738";"...";"-";"-";"-";"783";"-";"570";"-";"4272";"...";"-";"-";"-";"-";"-";"1572";"-";"-";"920";"-";"2156";"-";"79742";"3045";"-";"3066";"-";"2700";"-";"34";"-";"-";"94123";"2389";"...";"-";"-";"-";"523";"-";"453";"-";"5825";"...";"-";"-";"-";"-";"-";"1174";"-";"-";"20";"-";"1290";"-";"73523";"3000";"10";"2882";"-";"3000";"-";"34";"-";"-";"97187";"2134";"...";"-";"-";"-";"1065";"-";"397";"-";"4775";"...";"-";"-";"-";"-";"-";"989";"-";"-";"17";"-";"1189";"-";"75034";"3098";"11";"2554";"-";"5900";"-";"24";"-";"-";"94302";"2116";"...";"-";"-";"-";"3417";"-";"398";"5";"4732";"...";"-";"-";"-";"-";"-";"905";"-";"-";"45";"-";"1539";"-";"66153";"3387";"24";"3340";"-";"8237";"-";"4";"-";"-"
"Roraima";"41908";"201";"...";"-";"-";"-";"19000";"-";"-";"-";"548";"...";"-";"-";"-";"-";"-";"1000";"-";"-";"-";"-";"-";"-";"6210";"970";"30";"6500";"-";"7000";"-";"449";"-";"-";"46133";"201";"...";"-";"-";"-";"22200";"-";"-";"-";"559";"...";"-";"-";"-";"-";"-";"1000";"-";"-";"-";"-";"-";"-";"6210";"984";"30";"6500";"-";"8000";"-";"449";"-";"-";"34833";"201";"...";"-";"-";"-";"15500";"-";"-";"-";"559";"...";"-";"-";"-";"-";"-";"3000";"-";"-";"-";"-";"-";"-";"6210";"984";"30";"6500";"-";"1400";"-";"449";"-";"-";"34890";"206";"...";"-";"-";"-";"15500";"-";"-";"-";"563";"...";"-";"-";"-";"-";"-";"3000";"-";"-";"-";"-";"-";"-";"6251";"991";"30";"6500";"-";"1400";"-";"449";"-";"-";"42135";"201";"...";"-";"-";"-";"20000";"-";"-";"-";"564";"...";"-";"-";"-";"-";"-";"3000";"-";"-";"-";"-";"-";"-";"6800";"991";"30";"6500";"-";"3600";"-";"449";"-";"-";"43508";"201";"...";"-";"-";"-";"20000";"-";"-";"-";"566";"...";"-";"-";"-";"-";"-";"3000";"-";"-";"-";"-";"-";"-";"6800";"992";"-";"6500";"-";"5000";"-";"449";"-";"-";"49804";"236";"...";"-";"-";"-";"15342";"-";"14";"-";"475";"...";"-";"-";"-";"-";"-";"2804";"-";"-";"-";"-";"-";"-";"8225";"1313";"-";"6061";"-";"14900";"-";"434";"-";"-";"47814";"254";"...";"-";"-";"-";"12000";"-";"39";"-";"381";"...";"-";"-";"-";"-";"-";"2654";"-";"-";"-";"-";"-";"-";"8763";"1238";"-";"6181";"-";"16000";"-";"304";"-";"-";"50600";"229";"...";"900";"-";"-";"7964";"-";"41";"-";"290";"...";"-";"-";"-";"-";"-";"2688";"-";"-";"-";"-";"-";"-";"7851";"1341";"5";"5221";"-";"23820";"-";"250";"-";"-";"52194";"208";"...";"900";"-";"-";"9878";"-";"46";"-";"246";"...";"-";"-";"-";"-";"-";"2494";"-";"-";"-";"-";"-";"-";"7201";"1804";"6";"5130";"-";"24035";"-";"246";"-";"-";"47578";"218";"...";"2500";"-";"-";"9918";"-";"87";"-";"238";"...";"-";"-";"-";"-";"-";"1884";"-";"-";"-";"-";"-";"-";"5632";"1408";"21";"6625";"-";"18725";"200";"122";"-";"-";"66490";"339";"...";"-";"-";"-";"10062";"-";"76";"-";"160";"...";"-";"-";"-";"-";"-";"793";"-";"-";"-";"-";"-";"-";"6270";"1835";"12";"9155";"-";"37670";"-";"118";"-";"-";"71665";"410";"...";"-";"-";"-";"12400";"-";"250";"-";"210";"...";"-";"-";"-";"-";"-";"843";"-";"-";"-";"-";"-";"-";"6342";"1509";"20";"9621";"-";"39930";"-";"130";"-";"-";"84045";"415";"...";"-";"-";"-";"10310";"-";"240";"-";"200";"...";"-";"-";"-";"-";"-";"915";"-";"-";"-";"-";"-";"-";"6595";"1530";"20";"13900";"-";"49800";"-";"120";"-";"-";"114118";"415";"...";"-";"-";"-";"12210";"-";"257";"-";"164";"...";"350";"-";"-";"-";"-";"850";"-";"-";"-";"-";"-";"-";"5545";"1576";"38";"21373";"-";"71178";"-";"162";"-";"-";"139280";"416";"...";"-";"-";"-";"10710";"-";"255";"-";"190";"...";"320";"-";"-";"-";"-";"965";"-";"-";"-";"-";"-";"-";"5970";"1764";"35";"15720";"-";"102785";"-";"150";"-";"-";"163818";"412";"...";"-";"-";"-";"11620";"-";"377";"-";"185";"...";"-";"-";"-";"-";"-";"955";"-";"-";"-";"-";"-";"-";"6264";"1858";"45";"13774";"-";"128197";"-";"131";"-";"-"
